Accessed from https://nsidc.org/data/lake_river_ice/freezethaw.html on 2023-02-15; request: country = 'RUSSIA' AND lakecode LIKE '%NG1%' AND lakeorriver = 'L'; sored by: season,,,,,,,,,,,,,,,
iceon_year, iceon_month, iceon_day , iceoff_year, iceoff_month, iceoff_day , duration, season, froze, latitude, longitude, lakename, lakecode, lakeorriver, country, comments
1915,1,14,1915,5,4,110, 1914-15 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1916,1,7,1916,4,20,104, 1915-16 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1916,12,20,1917,4,20,121, 1916-17 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1917,12,26,1918,4,24,119, 1917-18 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1918,12,28,1919,4,20,113, 1918-19 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1920,1,14,1920,5,7,114, 1919-20 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1921,1,2,1921,5,4,122, 1920-21 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1922,1,1,1922,4,25,114, 1921-22 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1923,1,4,1923,4,17,103, 1922-23 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1924,1,10,1924,5,15,126, 1923-24 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1925,1,13,1925,5,2,109, 1924-25 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1926,1,19,1926,4,19,90, 1925-26 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1927,1,13,1927,5,5,112, 1926-27 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1928,1,8,1928,5,2,115, 1927-28 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1929,1,6,1929,5,5,119, 1928-29 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1929,12,31,1930,5,17,137, 1929-30 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1931,1,9,1931,5,12,123, 1930-31 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1932,2,2,1932,4,21,79, 1931-32 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1933,1,24,1933,4,27,93, 1932-33 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1934,1,18,1934,5,1,103, 1933-34 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1935,1,17,1935,5,1,104, 1934-35 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1936,1,1,1936,5,10,130, 1935-36 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1937,1,14,1937,5,5,111, 1936-37 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1938,1,3,1938,4,28,115, 1937-38 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1939,1,6,1939,4,29,113, 1938-39 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1940,1,18,1940,4,29,102, 1939-40 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1941,1,18,1941,5,3,105, 1940-41 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1942,1,15,1942,5,3,108, 1941-42 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1943,1,17,1943,4,26,99, 1942-43 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1944,1,5,1944,4,29,115, 1943-44 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1944,12,31,1945,5,2,122, 1944-45 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1946,1,8,1946,4,24,106, 1945-46 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1947,1,6,1947,5,4,118, 1946-47 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1947,12,19,1948,5,5,138, 1947-48 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1949,1,21,1949,4,22,91, 1948-49 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1949,12,30,1950,5,9,130, 1949-50 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1951,1,5,1951,5,8,123, 1950-51 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1952,1,28,1952,4,30,93, 1951-52 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1952,12,31,1953,5,1,121, 1952-53 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1954,1,15,1954,5,3,108, 1953-54 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1955,1,4,1955,5,7,123, 1954-55 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1956,1,18,1956,5,11,114, 1955-56 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1957,1,2,1957,5,3,121, 1956-57 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1958,1,18,1958,5,6,108, 1957-58 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1959,2,6,1959,4,19,72, 1958-59 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1959,12,28,1960,4,27,121, 1959-60 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1961,1,20,1961,4,19,89, 1960-61 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1962,1,13,1962,4,24,101, 1961-62 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1963,1,17,1963,5,2,105, 1962-63 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1964,1,29,1964,5,7,99, 1963-64 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1965,1,21,1965,5,2,101, 1964-65 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1966,1,15,1966,5,9,114, 1965-66 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1966,12,29,1967,5,2,124, 1966-67 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1968,1,6,1968,4,29,114, 1967-68 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1969,1,3,1969,5,8,125, 1968-69 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1970,1,6,1970,5,12,126, 1969-70 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1971,1,7,1971,5,9,122, 1970-71 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1972,1,12,1972,4,28,107, 1971-72 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1973,1,17,1973,5,13,116, 1972-73 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1974,1,26,1974,5,8,102, 1973-74 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1974,12,27,1975,5,10,134, 1974-75 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1976,1,17,1976,4,30,104, 1975-76 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1977,1,8,1977,5,11,123, 1976-77 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1978,1,29,1978,4,27,88, 1977-78 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1979,1,22,1979,5,3,101, 1978-79 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1980,1,11,1980,5,10,120, 1979-80 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1981,1,18,1981,4,24,96, 1980-81 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1982,1,14,1982,5,1,107, 1981-82 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1983,1,30,1983,5,5,95, 1982-83 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1984,1,28,1984,5,3,96, 1983-84 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1985,1,12,1985,5,9,117, 1984-85 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1986,1,7,1986,5,5,118, 1985-86 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1987,1,30,1987,5,7,97, 1986-87 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1988,1,12,1988,4,29,108, 1987-88 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1989,1,30,1989,4,23,83, 1988-89 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1990,1,21,1990,4,24,93, 1989-90 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1991,1,25,1991,4,27,92, 1990-91 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1992,1,3,1992,5,16,134, 1991-92 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1993,1,15,1993,4,22,97, 1992-93 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1994,1,17,1994,4,28,101, 1993-94 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1995,2,4,1995,4,23,78, 1994-95 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
