"Year","Month","Value"
2011,4,0.4
2011,5,0.6
2011,6,0.7
2011,7,1.2
2011,8,0.75
2011,9,0.5
2011,10,0.2
2011,11,1.2
2011,12,0.7
2012,1,1.6
2012,2,1.5
2012,3,0.8
2012,4,1.1
2012,5,0.6
2012,6,0.75
2012,7,0.8
2012,8,1.3
2012,9,0.8
2012,10,1.1
2012,11,1
2012,12,0.8
2013,1,0.5
2013,2,0.4
2013,3,0.3
2013,4,0.6
2013,5,0.6
2013,6,0.9
2013,7,0.85
2013,8,1.2
2013,9,1.1
2013,10,0.3
2013,11,1.3
2013,12,0.5
2014,1,0.5
2014,2,2
2014,3,0.3
2014,4,0.183333333333333
2014,5,0.8
2014,6,0.8
2014,7,1
2014,8,0.8
2014,9,1
2014,10,0.6
2014,11,0.8
2014,12,0.9
2015,1,0.9
2015,2,1.6
2015,3,0.3
2015,4,0.3
2015,5,0.7
2015,6,0.6
2015,7,0.65
2015,8,1.05
2015,9,1.1
2015,10,1.05
2015,11,0.8
2015,12,0.9
2016,1,0.5
2016,2,0.341666666666667
2016,3,0.7
2016,4,0.7
2016,5,0.8
2016,6,1.25
2016,7,1.35
2016,8,1.6
2016,9,1.00967741935484
2016,10,0.993548387096774
2016,11,0.92258064516129
2016,12,0.867741935483871
